user_id,id_str,screen_name,majority_lang,date_updated_ISO,date_updated_unix,cap_english,cap_universal,display_eng_astroturf,display_eng_fakefollower,display_eng_financial,display_eng_other,display_eng_overall,display_eng_selfdeclared,display_eng_spammer,display_universal_astroturf,display_universal_fakefollower,display_universal_financial,display_universal_other,display_universal_overall,display_universal_selfdeclared,display_universal_spammer,raw_eng_astroturf,raw_eng_fakefollower,raw_eng_financial,raw_eng_other,raw_eng_overall,raw_eng_selfdeclared,raw_eng_spammer,raw_universal_astroturf,raw_universal_fakefollower,raw_universal_financial,raw_universal_other,raw_universal_overall,raw_universal_selfdeclared,raw_universal_spammer,botolite_bs
364,364,graysky,en,"2022-05-16 12:47:00.646130",1652669220,0,0.260368,0.2,0.1,0,0.2,0,0,0,0.5,0.1,0,0.2,0.1,0,0,0.03,0.02,0,0.03,0,0.01,0,0.1,0.02,0.01,0.04,0.02,0.01,0,NULL
1306,1306,robtesla3,en,"2022-05-21 08:59:33.058458",1653087573,0.362646,0.436508,0.8,0,0,1,0.3,0,0,0.8,0,0,0.8,0.4,0,0,0.15,0.01,0,0.2,0.06,0.01,0,0.17,0,0,0.15,0.08,0,0,NULL
1378,1378,MParekh,en,"2022-06-15 08:50:43.441467",1655247043,0.790759,0.694516,1.6,1.4,0,1.8,1.8,0.2,0,1.8,0.8,0,1.4,1,0.1,0.1,0.32,0.29,0,0.37,0.36,0.03,0.01,0.36,0.16,0.01,0.28,0.19,0.02,0.02,NULL
2952,2952,pierced1,en,"2022-05-21 22:20:18.717213",1653135618,0.600488,0.494491,1,0.4,0.4,1,0.8,0,0,1.6,0.1,0.2,1.2,0.5,0,0,0.19,0.07,0.09,0.2,0.15,0.01,0.01,0.31,0.02,0.05,0.24,0.1,0.01,0,NULL
3300,3300,schwa,en,"2022-06-18 12:22:30.854619",1655518950,0.226318,0.436508,0.3,0.2,0,0.6,0,0,0,0.4,0,0,0.8,0.4,0,0,0.06,0.05,0,0.12,0.01,0.01,0,0.07,0.01,0,0.16,0.08,0.01,0,NULL
